,rank,name,scores_overall,record_type,url,location,stats_number_students,stats_pc_intl_students,stats_female_male_ratio,aliases,subjects_offered,closed,unaccredited,disabled,website_url,scores_overall_rank,scores_teaching,scores_teaching_rank,scores_research,scores_research_rank,scores_citations,scores_citations_rank,scores_industry_income,scores_industry_income_rank,scores_international_outlook,scores_international_outlook_rank,member_level,nid,stats_student_staff_ratio
0,1,University of Oxford,98.5,master_account,/world-university-rankings/university-oxford,United Kingdom,"21,750",42%,49 : 51,University of Oxford,"Geography,Chemistry,Chemical Engineering,Biological Sciences,General Engineering,Computer Science,Art, Performing Arts & Design,Communication & Media Studies,Electrical & Electronic Engineering,Law,Economics & Econometrics,Geology, Environmental, Earth & Marine Sciences,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Medicine & Dentistry,Languages, Literature & Linguistics,Business & Management,Accounting & Finance,Mechanical & Aerospace Engineering,Mathematics & Statistics,Physics & Astronomy,Psychology,Other Health,Archaeology,Sociology,Civil Engineering,Education",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-92611101,-1.350993726704474,3.1425345490143086,-1.2700978974868586,2.9382245241403284,-1.3634720670732876,1.4922117849564596,-1.3012274230744632,1.6940386309607882,-1.3179049672710794,1.36138307685376,-1.1602799732829976,-0.2172370253921871,-0.5662914127997213,-0.831847030675035
2,3,Massachusetts Institute of Technology,97.9,private,/world-university-rankings/massachusetts-institute-technology,United States,"11,085",33%,41 : 59,Massachusetts Institute of Technology,"Architecture,Economics & Econometrics,Archaeology,Biological Sciences,Languages, Literature & Linguistics,Mechanical & Aerospace Engineering,Psychology,Politics & International Studies (incl Development Studies),History, Philosophy & Theology,Mathematics & Statistics,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,General Engineering,Art, Performing Arts & Design,Other Health,Physics & Astronomy,Computer Science,Accounting & Finance,Chemical Engineering,Business & Management,Electrical & Electronic Engineering,Communication & Media Studies,Chemistry",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-68334672,-1.345210372022036,3.250412485276212,-1.2762075063385627,2.7659583949648234,-1.341547195244521,1.5346452743203114,-1.3124828955564318,1.757946996862213,-1.4786743911812994,1.171890095051789,-1.0234357735578534,-0.2172370253921871,-0.5662763018818889,-1.2552538201309804
3,4,Harvard University,97.8,private,/world-university-rankings/harvard-university,United States,"20,050",25%,51 : 49,Harvard University,"Sociology,Architecture,Physics & Astronomy,Psychology,Mechanical & Aerospace Engineering,Law,Chemical Engineering,Electrical & Electronic Engineering,Medicine & Dentistry,Communication & Media Studies,Mathematics & Statistics,History, Philosophy & Theology,Languages, Literature & Linguistics,Agriculture & Forestry,Education,Computer Science,Business & Management,Geography,Accounting & Finance,Politics & International Studies (incl Development Studies),Chemistry,Archaeology,Art, Performing Arts & Design,Other Health,Biological Sciences,Geology, Environmental, Earth & Marine Sciences,Economics & Econometrics,General Engineering,Civil Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-48698023,-1.3423186946808172,3.2018674139583556,-1.2741709700546615,2.9336912049515,-1.3610359702034247,1.5164594931643751,-1.3068551593154474,0.9812145497525894,-0.95156152590189,1.018247136833975,-0.8839599546072254,-0.2172370253921871,-0.5663014867449429,-1.1092514789392751
4,5,University of Cambridge,97.5,master_account,/world-university-rankings/university-cambridge,United Kingdom,"20,565",38%,48 : 52,University of Cambridge,"Politics & International Studies (incl Development Studies),Biological Sciences,Business & Management,Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Mathematics & Statistics,Psychology,General Engineering,Physics & Astronomy,Chemical Engineering,Chemistry,Economics & Econometrics,History, Philosophy & Theology,Computer Science,Accounting & Finance,Education,Veterinary Science,Electrical & Electronic Engineering,Geography,Other Health,Architecture,Art, Performing Arts & Design,Law,Mechanical & Aerospace Engineering,Sociology,Medicine & Dentistry,Archaeology,Languages, Literature & Linguistics",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67516113,-1.3394270173395983,3.0993833745095474,-1.266024824919056,2.9382245241403284,-1.3659081639431505,1.4315925144366715,-1.2815303462310181,1.1631075911643367,-1.0464418416521837,1.3562616449131666,-1.1576483540575142,-0.2172370253921871,-0.5662813388544997,-0.7442456259600118
5,6,Princeton University,96.9,private,/world-university-rankings/princeton-university,United States,"7,753",23%,47 : 53,Princeton University,"History, Philosophy & Theology,Agriculture & Forestry,Economics & Econometrics,Languages, Literature & Linguistics,Architecture,Sociology,General Engineering,Geology, Environmental, Earth & Marine Sciences,Other Health,Chemistry,Mechanical & Aerospace Engineering,Physics & Astronomy,Civil Engineering,Mathematics & Statistics,Electrical & Electronic Engineering,Biological Sciences,Computer Science,Politics & International Studies (incl Development Studies),Art, Performing Arts & Design,Chemical Engineering,Psychology",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20795402,-1.3365353399983793,3.1263528585750233,-1.2680613612029574,2.843024821174918,-1.3512915827239729,1.4800879308525017,-1.295599686833479,1.517061617695304,-1.2098468298888005,0.93118279384388,-0.8418540469994887,-0.2172370253921871,-0.5662863758271105,-1.3574554589651742
6,7,California Institute of Technology,96.5,private,/world-university-rankings/california-institute-technology-caltech,United States,"2,240",33%,37 : 63,California Institute of Technology caltech,"Computer Science,Chemistry,Chemical Engineering,Mathematics & Statistics,Physics & Astronomy,Economics & Econometrics,Languages, Literature & Linguistics,General Engineering,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Politics & International Studies (incl Development Studies),Mechanical & Aerospace Engineering,Civil Engineering,Biological Sciences,Electrical & Electronic Engineering,Business & Management",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-20537945,-1.3336436626571604,3.1425345490143086,-1.27213443377076,2.8475581403637467,-1.3537276795938358,1.304292046345117,-1.2083697750982227,1.757946996862213,-1.515572291750858,1.0080042729527872,-0.8734334777052912,-0.2172370253921871,0.08000757986192047,-1.5326582683952208
7,8,Imperial College London,95.1,master_account,/world-university-rankings/imperial-college-london,United Kingdom,"20,275",61%,42 : 58,Imperial College London,"Computer Science,Mechanical & Aerospace Engineering,Chemical Engineering,Physics & Astronomy,Other Health,Mathematics & Statistics,Electrical & Electronic Engineering,Chemistry,Medicine & Dentistry,General Engineering,Geology, Environmental, Earth & Marine Sciences,Biological Sciences,Civil Engineering",False,False,False,https://www.timeshighereducation.com/student/register-interest/siuk?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-67704114,-1.3307519853159415,2.8350824306678852,-1.2558421434995493,2.7342251606430197,-1.3391110983746581,1.467964076748544,-1.2927858187129868,1.3105884355522401,-1.1070598211593157,1.4023545323785103,-1.181332927086866,-0.2172370253921871,-0.5662712649092781,-0.7004449236025001
8,9,"University of California, Berkeley",94.6,public,/world-university-rankings/university-california-berkeley,United States,"39,991",22%,52 : 48,"University of California, Berkeley","Chemistry,Electrical & Electronic Engineering,Geology, Environmental, Earth & Marine Sciences,Computer Science,Mathematics & Statistics,Archaeology,History, Philosophy & Theology,Law,Agriculture & Forestry,Education,Communication & Media Studies,Other Health,Art, Performing Arts & Design,Civil Engineering,Mechanical & Aerospace Engineering,Psychology,Languages, Literature & Linguistics,Politics & International Studies (incl Development Studies),Chemical Engineering,Architecture,Geography,Economics & Econometrics,Biological Sciences,Sociology,General Engineering,Physics & Astronomy,Business & Management",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-50018853,-1.3278603079747224,2.635508248583364,-1.2436229257961413,2.8838246938743795,-1.3585998733335618,1.4922117849564596,-1.3040412911949553,1.7284508279846325,-1.354802867840638,0.8133898592102227,-0.7471157548820812,-0.2172370253921871,-0.5662611909640566,0.19016935766690218
9,10,Yale University,94.2,private,/world-university-rankings/yale-university,United States,"11,924",21%,51 : 49,Yale University,"Law,Computer Science,Electrical & Electronic Engineering,Chemical Engineering,Economics & Econometrics,Accounting & Finance,Archaeology,Mechanical & Aerospace Engineering,Business & Management,Medicine & Dentistry,Mathematics & Statistics,Art, Performing Arts & Design,Architecture,Sociology,Politics & International Studies (incl Development Studies),Biological Sciences,Agriculture & Forestry,Geology, Environmental, Earth & Marine Sciences,History, Philosophy & Theology,Languages, Literature & Linguistics,General Engineering,Physics & Astronomy,Chemistry,Other Health,Psychology",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-73583889,-1.3249686306335036,3.0022932318738347,-1.2599152160673521,2.7070252455100454,-1.3366750015047952,1.4134067332807354,-1.2646471375080655,1.0942831971166485,-1.0148150697354192,0.5880468538240956,-0.6286928897353216,-0.2172370253921871,-0.5662561539914458,-1.6640603754677556
14,15,Johns Hopkins University,91.1,private,/world-university-rankings/johns-hopkins-university,United States,"15,772",28%,56 : 44,Johns Hopkins University,"Civil Engineering,Geology, Environmental, Earth & Marine Sciences,Art, Performing Arts & Design,Computer Science,Physics & Astronomy,Business & Management,Archaeology,Mathematics & Statistics,Sociology,Other Health,Economics & Econometrics,General Engineering,Psychology,Mechanical & Aerospace Engineering,Chemistry,History, Philosophy & Theology,Chemical Engineering,Education,Biological Sciences,Accounting & Finance,Medicine & Dentistry,Languages, Literature & Linguistics,Electrical & Electronic Engineering,Politics & International Studies (incl Development Studies)",False,False,False,https://www.timeshighereducation.com/student/register-interest/shorelight?utm_medium=thewebsite&utm_campaign=cta-link&utm_source=rankings&iid=i-44788493,-1.3105102439274088,2.4844791378166997,-1.2334402443766346,2.589158946600489,-1.3269306140253434,1.3830970980208412,-1.2393223244236362,1.757946996862213,-1.4918522128132845,0.680232628754784,-0.6760620357940255,-0.2172370253921871,-0.5662410430736134,-1.8246629507786314
