,track_name,artist(s)_name,streams,in_deezer_playlists,in_shazam_charts,key,mode,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,in_apple_playlists,in_apple_charts,in_deezer_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0,Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",141381703,45,826,B,Major,-0.5898592895097968,0.31609199953442124,0.2640673343392832,0.016814309358053767,-0.5349512462300903,6.715372037712102,-0.23441145715414036,4.257101091457365,1.0746042246777776,0.14138185479256646,0.6372893375837335,1.5085845524278743,1.1309002134688702,0.32565242141915884,-0.1352189508835078,-0.7522693974609781,-0.7453553484195634
5,Sprinter,"Dave, Central Cee",183706234,88,946,C#,Major,-0.5898592895097968,0.31609199953442124,-0.023922476281607527,-1.3247038235423572,-0.2919012169104425,3.909282422792853,0.05848589250352804,3.2622136548282135,2.162616173046082,0.7368741414209706,1.5625536406237417,0.5077274707830242,-0.6439281399996235,-0.21389345191580392,-0.1352189508835078,-0.7522693974609781,0.9911256642735767
6,Ella Baila Sola,"Eslabon Armado, Peso Pluma",725980112,43,418,F,Minor,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,0.22320171441965544,-0.15735300717072329,1.8548239547269747,-0.344247963275766,3.4412933934214607,1.540895059692765,0.9974020168208975,-0.36508032404294205,1.247491400694435,0.6339482744976919,1.0900090753103562,-0.1352189508835078,-0.7522693974609781,-0.8321793990542204
9,La Bebe - Remix,"Peso Pluma, Yng Lvcas",553634067,66,339,D,Minor,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,0.3263954169504563,-0.1777436097529595,1.5541714959856265,-0.16118711973972327,1.2127455353721612,1.540895059692765,1.816203910934953,0.7143946961704009,0.07257221789395897,-1.353859481387021,-0.12396913969331014,-0.1352189508835078,-0.7522693974609781,1.7725421199854896
10,un x100to,"Bad Bunny, Grupo Frontera",505671438,54,251,F#,Minor,-0.5898592895097968,0.31609199953442124,-0.599902097523389,0.3263954169504563,-0.18920402142326745,1.3537365234913945,-0.2588195696256127,3.103031664967549,1.3854647813544358,-1.4217853976069945,-1.1361339099096157,0.07257221789395897,0.3499757379427329,-0.03404482747081634,-0.1352189508835078,0.5244846284238496,-0.6585312977849064
18,Classy 101,"Feid, Young Miko",335222234,54,187,B,Major,-0.5898592895097968,0.31609199953442124,-0.8878919081442797,1.7711072523816682,-0.22879453446614945,1.3537365234913945,-0.23441145715414036,1.013768048046331,1.6963253380310943,-0.7890748430643151,1.0999214891037377,0.5512429960719307,-0.07598306688970556,-0.43870423247203844,-0.1352189508835078,-0.48347907622206704,0.2965332591963206
20,LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",86444842,10,0,F,Minor,1.2026257358937609,0.31609199953442124,-0.023922476281607527,0.8423639296044605,-0.5678441160890261,0.6522141197615825,-0.6249412566976982,2.2673262181990617,0.1420225546478024,0.6996558735066953,-0.5192910412162768,1.4215535018500611,0.4919620062202124,-0.07900698358206323,-0.1352189508835078,1.5324483330697662,-0.7453553484195634
23,"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",200647221,32,139,F,Minor,-0.5898592895097968,0.31609199953442124,-0.3119122869024982,1.7711072523816682,-0.42183549467899883,1.3537365234913945,-0.5517169192832811,2.0484509821406482,1.2300345030161066,0.4391279981067685,1.0228161305170702,1.160460350116622,-0.004989932750965814,0.10084164086292435,-0.1352189508835078,-0.48347907622206704,-0.6585312977849064
24,Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",115364561,87,"1,093",C#,Major,1.2026257358937609,0.31609199953442124,-0.023922476281607527,-1.2215101210115564,-0.3277708170733544,3.708847450298621,0.14391428615368132,2.6453834441181394,1.6963253380310943,-0.8262931109785903,1.0228161305170702,1.247491400694435,0.06600320138777394,-0.7534393252507667,-0.1352189508835078,1.1292628512113996,0.6438294617349487
26,Calm Down (with Selena Gomez),"Rï¿½ï¿½ma, Selena G",899183384,318,96,B,Major,-0.5898592895097968,0.21575042158891,-0.8878919081442797,1.1519450371968631,0.4412674569588683,3.207760019063041,1.7060334843279128,1.3918252739654084,5.426652018150994,-0.5285469676643882,0.6372893375837335,1.2039758754055285,0.9179208110526509,0.8651982947541216,-0.1352189508835078,-0.3490839156026115,-0.7453553484195634
